danceability,playlist_genre,valence,track_artist,track_popularity,track_album_name,track_id,track_name,track_album_release_date,instrumentalness,acousticness
0.521,pop,0.535,"Lady Gaga, Bruno Mars",100,Die With A Smile,2plbrEY59IikOBgBGLjaoe,Die With A Smile,2024-08-16,0.0,0.308
0.747,pop,0.438,Billie Eilish,97,HIT ME HARD AND SOFT,6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,2024-05-17,0.0608,0.2
0.554,pop,0.372,Gracie Abrams,93,The Secret of Us (Deluxe),7ne4VBA60CxGM75vw0EYad,That’s So True,2024-10-18,0.0,0.214
0.67,pop,0.786,Sabrina Carpenter,81,Short n' Sweet,1d7Ptw3qYcfpdLNL5REhtJ,Taste,2024-08-23,0.0,0.0939
0.777,pop,0.939,"ROSÉ, Bruno Mars",98,APT.,5vNRhkKd0yEAg8suGBpjeY,APT.,2024-10-18,0.0,0.0283
0.7,pop,0.785,Chappell Roan,94,"Good Luck, Babe!",0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",2024-04-05,0.0,0.0502
0.669,pop,0.841,Addison Rae,88,Diet Pepsi,6MzofobZt2dm0Kf1hTThFz,Diet Pepsi,2024-08-09,0.00962,0.495
0.467,pop,0.126,Billie Eilish,93,HIT ME HARD AND SOFT,3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,2024-05-17,0.000271,0.612
0.492,pop,0.297,Gigi Perez,71,Sailor Song,0UYnhUfnUj5adChuAXvLUB,Sailor Song,2024-07-26,8.61e-05,0.686
0.769,pop,0.57,"The Weeknd, Playboi Carti",92,Timeless,1Es7AUAhQvapIcoh3qMKDL,Timeless (with Playboi Carti),2024-09-27,2.56e-06,0.0584
0.776,pop,0.618,"Charli xcx, Billie Eilish",85,Guess featuring Billie Eilish,3WOhcATHxK2SLNeP5W3v1v,Guess featuring billie eilish,2024-08-01,0.3,0.0146
0.669,pop,0.579,Sabrina Carpenter,88,Please Please Please,5N3hjp1WNayUPZrA8kJmJP,Please Please Please,2024-06-06,0.0,0.274
0.608,pop,0.587,Tate McRae,79,2 hands,1f18HzFpegqvH4ibGJyeMJ,2 hands,2024-11-14,0.0,0.121
0.722,pop,0.604,Shaboozey,86,A Bar Song (Tipsy),2FQrifJ1N335Ljm3TjTVVf,A Bar Song (Tipsy),2024-04-12,0.0,0.0633
0.742,pop,0.957,Chappell Roan,88,The Rise and Fall of a Midwest Princess,4xdBrk0nFZaP54vvZj0yx7,HOT TO GO!,2023-09-22,0.0,0.0187
0.562,pop,0.501,Lady Gaga,86,Disease,19KlZwqlT3fguP2BeHF1Q1,Disease,2024-10-25,0.0,0.0513
0.734,pop,0.672,LISA,82,Moonlit Floor (Kiss Me),5G345YEhvleYxQLfYUlEFv,Moonlit Floor (Kiss Me),2024-10-08,0.0,0.126
0.619,pop,0.746,Morgan Wallen,86,Love Somebody,7hR22TOX3RorxJPcsz5Wbo,Love Somebody,2024-10-18,0.000118,0.00948
0.53,pop,0.338,Gracie Abrams,90,The Secret of Us,51rfRCiUSvxXlCSCfIztBy,"I Love You, I'm Sorry",2024-06-21,0.0,0.656
0.727,pop,0.655,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",86,Move,1BJJbSX6muJVF2AK7uH1x4,Move,2024-06-07,0.336,0.0563
0.505,pop,0.664,"Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",88,CHROMAKOPIA,3tFed7YsjGnIfxeLEQwx3R,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)",2024-10-28,0.0,0.285
0.701,pop,0.69,Sabrina Carpenter,90,Espresso,2qSkIjg1o9h3YT9RAgYN75,Espresso,2024-04-12,6.54e-05,0.107
0.894,pop,0.838,JENNIE,89,Mantra,2CspwnypzT7rcWI9RfsoSb,Mantra,2024-10-10,1.15e-05,0.00434
0.833,pop,0.343,"Rauw Alejandro, Bad Bunny",82,Cosa Nuestra,0l0vcZMU7AOeQmUIREoI2U,Qué Pasaría...,2024-11-15,1.27e-05,0.528
0.757,pop,0.321,Don Toliver,85,HARDSTONE PSYCHO,2c7z5oRcPBbqRaBY2mLWcf,NEW DROP,2024-06-14,0.0209,0.189
0.638,pop,0.731,"Post Malone, Morgan Wallen",84,I Had Some Help,7221xIgOnuakPdLqT0F3nP,I Had Some Help (Feat. Morgan Wallen),2024-05-10,0.0,0.00757
0.741,pop,0.934,Hozier,77,Unheard,4IadxL6BUymXlh8RCJJu7T,Too Sweet,2024-03-22,0.000809,0.0295
0.705,pop,0.457,The Marías,84,Submarine,3siwsiaEoU4Kuuc9WKMUy5,No One Noticed,2024-05-31,0.0814,0.552
0.694,pop,0.471,"Oscar Maydon, Fuerza Regida",93,Tu Boda,1cOboCuWYI2osTOfolMRS6,Tu Boda,2024-09-26,1.36e-05,0.496
0.635,pop,0.332,Myles Smith,88,Stargazing,3Vr3zh0r7ALn8VLqCiRR10,Stargazing,2024-05-10,0.0,0.246
0.836,pop,0.703,"GloRilla, Sexyy Red",70,WHATCHU KNO ABOUT ME (with Sexyy Red),4VI2Y5xg4gYynQqNQNQbTN,WHATCHU KNO ABOUT ME (with Sexyy Red),2024-10-10,0.0,0.00586
0.645,pop,0.295,Ariana Grande,81,eternal sunshine,46kspZSY3aKmwQe7O77fCC,we can't be friends (wait for your love),2024-03-08,3.04e-05,0.0615
0.472,pop,0.219,Benson Boone,85,Beautiful Things,6tNQ70jh4OwmPGpYy6R2o9,Beautiful Things,2024-01-18,0.0,0.151
0.744,pop,0.712,"Myke Towers, benny blanco",84,LA PANTERA NEGRA (DELUXE),0qeIFEGRQqHoaJtLCl0U73,DEGENERE 👑 (feat. benny blanco),2024-10-17,0.0,0.0501
0.739,pop,0.788,KATSEYE,85,Touch,6aJn7Cst74cj4lNIiPRgav,Touch,2024-07-26,1.03e-05,0.549
0.561,pop,0.242,Teddy Swims,89,I've Tried Everything But Therapy (Part 1),17phhZDn6oGtzMe56NuWvj,Lose Control,2023-09-15,1.9e-05,0.199
0.646,pop,0.64,Mark Ambor,82,Belong Together,5uQ7de4EWjb3rkcFxyEOpu,Belong Together,2024-02-16,0.0,0.491
0.924,pop,0.787,KAROL G,93,Si Antes Te Hubiera Conocido,6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,2024-06-21,0.000594,0.446
0.689,pop,0.912,Djo,89,DECIDE,3qhlB30KknSejmIvZZLjOD,End of Beginning,2022-09-16,0.00259,0.0351
0.504,pop,0.281,"Taylor Swift, Post Malone",84,THE TORTURED POETS DEPARTMENT,2OzhQlSqBEmt7hmkYxfT6m,Fortnight (feat. Post Malone),2024-04-18,1.53e-05,0.502
0.56,pop,0.388,"Omar Courtz, De La Rose",89,PRIMERA MUSA,0Sr7ssScx54yxdM2ols7nW,Q U E V A S H A C E R H O Y ?,2024-09-20,0.0,0.103
0.898,pop,0.214,Kendrick Lamar,88,Not Like Us,6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,2024-05-04,0.0,0.0107
0.487,pop,0.317,Jin,85,Happy,4p7DTkyrKqT98xlIwYYfXz,Running Wild,2024-11-15,0.0,0.000175
0.848,pop,0.692,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",84,+57,3mg9jYNC1NihbthlglzrWP,+57,2024-11-08,0.0,0.221
0.882,pop,0.788,Ndotz,87,Embrace It,0io16MKpbeDIdYzmGpQaES,Embrace It,2024-08-23,4.13e-05,0.475
0.466,pop,0.806,Linkin Park,89,The Emptiness Machine,2PnlsTsOTLE5jnBnNe2K0A,The Emptiness Machine,2024-09-05,0.0,0.0156
0.66,pop,0.838,Jimin,92,MUSE,7tI8dRuH2Yc6RuoTjxo4dU,Who,2024-07-19,0.0,0.00289
0.579,rock,0.609,Eagles,81,Hotel California (2013 Remaster),40riOy7x9W7GXjyGp4pjAv,Hotel California - 2013 Remaster,1976-12-08,0.000494,0.00574
0.502,rock,0.259,AC/DC,83,The Razors Edge,57bgtoPSgt236HzfBOd8kj,Thunderstruck,1990-09-24,0.0117,0.000147
0.743,rock,0.278,The White Stripes,82,Elephant,3dPQuX8Gs42Y7b454ybpMR,Seven Nation Army,2003-04-01,0.118,0.0039
0.515,rock,0.104,Radiohead,86,Pablo Honey,70LcF31zb1H0PyJoS1Sx1r,Creep,1993-02-22,0.000133,0.0097
0.5,rock,0.539,Nirvana,76,Nevermind (Remastered),4P5KoWXOxwuobLmHXLMobV,Come As You Are,1991-09-26,0.00161,0.00016
0.592,rock,0.328,Red Hot Chili Peppers,81,Californication (Deluxe Edition),48UPSzbZjgc449aqz8bxox,Californication,1999-06-08,0.00165,0.0021
0.445,rock,0.624,Guns N' Roses,84,Appetite For Destruction,7snQQk1zcKl8gZ92AnueZW,Sweet Child O' Mine,1987-07-21,0.0843,0.09
0.464,rock,0.612,The Rolling Stones,81,Aftermath,63T7DJ1AFDD6Bn8VzG6JE8,"Paint It, Black",1966-04-15,0.00244,0.0493
0.828,rock,0.789,Fleetwood Mac,84,Rumours (Super Deluxe),0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,1977-02-04,0.00428,0.0644
0.413,rock,0.364,Foo Fighters,81,The Colour And The Shape,5UWwZ5lm5PKu6eKsHAGxOk,Everlong,1997-05-20,0.000308,5.99e-05
0.535,rock,0.901,Joan Jett & the Blackhearts,77,I Love Rock 'N' Roll (Expanded Edition),2Cdvbe2G4hZsnhNMKyGrie,I Love Rock 'N Roll,1981-11-18,0.0,0.326
